"","Water.temperature...C.","pH","Alkalinity..µ.equ.l.1.","Suspended.solids......mg.l.1.","phosphorus..µg.l.1.P.","Ammonium..mg.l.1.NH4.","Dissolved.silicon..mg.l.1.Si.","Chlorophyll.a..µg.l.1.","Dissolved.fluoride..mg.l.1.","Dissolved.chloride..mg.l.1.","Dissolved.nitrate......mg.l.1.NO3.","Dissolved.sulphate.....mg.l.1.SO4.","Dissolved.sodium..mg.l.1.","Dissolved.potassium..mg.l.1.","Dissolved.calcium...........mg.l.1.","Dissolved.magnesium..mg.l.1.","Dissolved.boron....µg.l.1."
"nbr.val",4140,4140,4140,4140,4140,4140,4140,4140,4140,4140,4140,4140,4140,4140,4140,4140,4140
"nbr.null",2,0,0,2,0,7,0,0,6,0,0,0,0,0,0,0,0
"nbr.na",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"min",0,7.12,1191,0,11,0,0.02,0.21,0,9.63,2.39,10.7,6.5,1.1,34.2,1.2,5
"max",118,8.88,5976,334.62,2545,2.16,10,328.5,0.5,248.06,151.33,184.98,154.2,22.5,150.5,15.1,184
"range",118,1.76,4785,334.62,2534,2.16,9.98,328.29,0.5,238.43,148.94,174.28,147.7,21.4,116.3,13.9,179
"sum",48991.12,32735.63,16752954,45324.06,1070795,322.41,19627.21,39366.39,621.53,174424.5,125261.92,214657.62,114429.8,23182.9,426534.7,20588.3,223205.3
"median",11.9,7.92,4179,7.3,199,0.05,4.66,3.05,0.14,37.475,27.79,47.505,23.1,4.8,104.5,4.8,52
"mean",11.8336038647343,7.90715700483092,4046.60724637681,10.9478405797101,258.6461352657,0.0778768115942029,4.74087198067633,9.50878985507246,0.150128019323672,42.1315217391304,30.2565024154589,51.8496666666667,27.6400483091787,5.59973429951691,103.02770531401,4.9730193236715,53.9143236714976
"SE.mean",0.0783748788175752,0.00286501554988825,10.7406095289345,0.235080966859665,3.56787382905687,0.00156794011376882,0.0329410303342017,0.428781855418566,0.000797623384619098,0.350520644182769,0.244154806645277,0.383392770780871,0.283530075683986,0.0558607706412916,0.249482702747667,0.0280059140301629,0.422545054099517
"CI.mean.0.95",0.153656873316547,0.00561696985106402,21.0573656078164,0.460885004083564,6.99494972409293,0.0030740050774443,0.0645821186755561,0.840642821175376,0.00156377039701717,0.687208797392722,0.478674605438837,0.751655827723536,0.555871289092644,0.109517124457344,0.489120144478891,0.0549066390809124,0.828415339555759
"var",25.4304535468321,0.03398242037856,477593.269239577,228.789072455855,52701.0559526853,0.0101779258695127,4.49236152504222,761.15506127982,0.00263388068368168,508.659949072975,246.79189817709,608.53866908432,332.811717803899,12.9185623840854,257.680302536961,3.24713125355257,739.17349616001
"std.dev",5.04286164264221,0.18434321354083,691.081232012255,15.125775102647,229.567105554531,0.100885706963438,2.11951917307729,27.5890387886171,0.0513213472512333,22.5534908400668,15.7096116494677,24.668576551644,18.2431279610679,3.59424016783595,16.0524235720642,1.80197981496813,27.1877453305714
"coef.var",0.42614757940906,0.0233134631610583,0.170780406878138,1.38162179039032,0.887572146858884,1.29545245751879,0.447073699040259,2.90142480895187,0.341850558492922,0.535311565048926,0.519214396751991,0.475771169566709,0.660025183639413,0.641859055374471,0.15580686304853,0.362351259403062,0.504276850364063
